 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0Mainstem headwater           27.00000    70.00000    35.00000     1.21501    63.06501    75.88623     0.92243     0.00000     0.00166                                               
     0U/S of MPM                   26.00000    70.00000    35.00000     1.21420    63.06504    75.83623     0.92304     0.01254     0.00166     0.00000     Specified/No wind                  0.00000
     0U/S of MPM                   25.00000    70.00000    35.00000     1.21420    63.06504    75.83623     0.92304     0.02508     0.00166     0.00000     Specified/No wind                  0.00000
     0U/S of MPM                   24.00000    70.86800    35.43400     1.22327    63.07412    76.40867     0.92749     0.03756     0.00166     0.00000     Specified/No wind                  0.00000
     0U/S of MPM                   23.00000    70.86800    35.43400     1.22327    63.07412    76.40867     0.92749     0.05004     0.00166     0.00000     Specified/No wind                  0.00000
     0D/S of Bhadravathi city      22.00000    71.17600    35.58800     1.22648    63.07733    76.61115     0.92906     0.06249     0.00166     0.00000     Specified/No wind                  0.00000
     0D/S of Bhadravathi city      21.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.07495     0.00166     0.00000     Specified/No wind                  0.00000
     0D/S of Bhadravathi city      20.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.08740     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             19.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.09986     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             18.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.11231     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             17.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.12476     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             16.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.13722     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             15.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.14967     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             14.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.16213     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             13.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.17458     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             12.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.18703     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             11.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.19949     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             10.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.21194     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              9.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.22440     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              8.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.23685     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              7.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.24930     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              6.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.26176     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              5.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.27421     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              4.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.28666     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              3.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.29912     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              2.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.31157     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              1.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.32403     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              0.00000    71.23390    35.61695     1.22709    63.07793    76.64917     0.92935     0.33648     0.00166     0.00000     Specified/No wind                  0.00000
 
