 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0Mainstem headwater           27.00000   197.00000    98.50000     2.27400    64.12400   143.23227     1.37539     0.00000     0.00166                                               
     0U/S of MPM                   26.00000   197.00000    98.50000     2.27247    64.12332   143.13657     1.37631     0.00841     0.00166     0.00000     Specified/No wind                  0.00000
     0U/S of MPM                   25.00000   197.00000    98.50000     2.27247    64.12332   143.13657     1.37631     0.01682     0.00166     0.00000     Specified/No wind                  0.00000
     0U/S of MPM                   24.00000   197.86800    98.93400     2.27855    64.12940   143.52630     1.37862     0.02521     0.00166     0.00000     Specified/No wind                  0.00000
     0U/S of MPM                   23.00000   197.86800    98.93400     2.27855    64.12940   143.52630     1.37862     0.03361     0.00166     0.00000     Specified/No wind                  0.00000
     0D/S of Bhadravathi city      22.00000   198.17600    99.08800     2.28071    64.13155   143.66444     1.37944     0.04200     0.00166     0.00000     Specified/No wind                  0.00000
     0D/S of Bhadravathi city      21.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.05039     0.00166     0.00000     Specified/No wind                  0.00000
     0D/S of Bhadravathi city      20.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.05878     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             19.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.06717     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             18.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.07556     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             17.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.08395     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             16.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.09234     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             15.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.10073     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             14.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.10912     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             13.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.11751     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             12.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.12590     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             11.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.13428     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur             10.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.14267     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              9.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.15106     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              8.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.15945     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              7.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.16784     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              6.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.17623     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              5.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.18462     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              4.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.19301     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              3.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.20140     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              2.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.20979     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              1.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.21818     0.00166     0.00000     Specified/No wind                  0.00000
     0Near hole Honnur              0.00000   198.23390    99.11695     2.28111    64.13196   143.69040     1.37959     0.22657     0.00166     0.00000     Specified/No wind                  0.00000
 
