Rainfall,Evaporation,Inflow
0,12.18,2.88
0,12.06,4.53
0,11.94,2.42
0,13.31,3.96
0,13.18,7.86
0,13.06,5.43
0,12.95,6.05
0,12.88,1.33
0,12.82,4.34
0,12.76,7.28
0.1333333333,12.7,8.22
0,12.64,7.48
0,12.58,5.42
0,12.52,3.36
0,12.46,3.3
0,12.4,1.18
0,12.34,2.18
0,12.27,1.12
0,12.21,4.05
0,12.15,5.99
0,12.09,6.99
0,12.03,7.87
0,11.97,4.13
3.055555556,11.91,2.11
0.1555555556,11.85,4.05
0.5777777778,11.78,4.63
0,11.71,4.56
0,11.65,1.49
0,11.59,1.43
0,11.52,1.37
0,11.46,5.3
0,11.42,1.92
0,11.33,2.88
0,11.26,5.79
0,16.22,5.72
0,16.12,5.68
0.1555555556,16.02,2.58
0,15.93,2.48
0,15.85,1.39
0,15.77,2.31
0,15.68,3.23
0.1555555556,15.6,2.82
0.3555555556,15.51,2.74
0.9111111111,15.42,4.29
0.3555555556,15.31,3.55
0,15.18,2.58
1.722222222,15.04,4.61
7.244444444,14.91,4.39
5.677777778,14.79,4.15
0,14.69,5.57
0.1333333333,14.59,5.47
13.66666667,14.5,4.05
2.355555556,14.41,5.96
11.14444444,14.31,2.87
13.96666667,14.22,1.77
12.16666667,14.13,1.68
1.866666667,14.05,4.64
1.111111111,13.95,4.51
1,13.85,2.73
0,13.75,2.63
0.8444444444,13.66,4.21
0.7111111111,13.56,1.12
8.066666667,13.46,1.02
9.2,13.36,3.92
9.377777778,10.98,4.82
5.333333333,10.9,5.44
0.2,10.82,7.36
6.211111111,10.74,4.28
6.355555556,10.65,3.2
9.922222222,10.56,1.11
7.566666667,10.48,2.02
0.02222222222,10.39,3.94
0,10.3,6.85
0,10.21,6.76
0,10.12,1.67
0,10.03,1.58
0,9.94,5.49
0,9.85,5.4
0,9.77,3.31
0,9.68,2.23
0,9.58,3.14
0,9.48,3.04
0,9.38,4.94
0,9.27,3.84
0.7777777778,9.17,3.73
0.7555555556,9.07,3.63
0,8.97,3.53
0,8.86,2.43
1.4,8.76,4.32
2.133333333,8.65,7.19
6.733333333,8.54,1.11
1.511111111,8.45,3
3.911111111,8.45,92.91
1.033333333,8.28,41.91
7.5,8.2,81.1
0,4.2,21.87
0,4.19,62.28
0,4.19,8.94
0,4.19,8.94
0,4.19,8.94
11.4,4.19,8.94
0.3111111111,4.19,8.94
1.666666667,4.19,8.94
12.84444444,4.19,8.94
0.04444444444,4.19,8.94
3.222222222,4.19,8.94
4.177777778,4.19,8.94
10.47777778,4.19,8.94
5.633333333,4.19,8.94
10.04444444,4.19,8.94
9.744444444,4.19,8.94
7.577777778,4.19,8.94
4.877777778,4.2,8.94
9.966666667,4.2,133.95
13.44444444,4.28,136.98
9.544444444,4.3,223.01
13.72222222,4.36,180.05
111.2888889,4.56,446.11
72.94444444,4.96,2529.31
19.96666667,5.23,2105.71
14.56666667,5.28,427.98
11.97777778,5.36,487.03
27.74444444,5.46,385.11
67.27777778,5.65,994.21
110.7555556,5.94,1706.4
95.01111111,6.09,2629.69
52.02222222,6.39,3823.84
37.55555556,6.74,1420.14
36.73333333,6.87,1869.49
34.61111111,7.09,1720.62
17.97777778,7.29,1775.84
84.98888889,7.54,1523.04
28.01111111,7.84,2827.29
51.11111111,8.1,2453.59
33.15555556,8.34,2195.85
29.8,8.53,2260.09
14.11111111,8.67,1608.28
16.41111111,8.8,1273.42
15.45555556,8.91,1199.55
13.07777778,9,1214.66
13.51111111,9.11,1040.75
51.13333333,9.18,1429.86
20.68888889,9.39,1934.93
10.53333333,9.49,1378.14
3.355555556,9.57,998.24
17.16666667,9.63,907.32
6.044444444,9.67,612.38
5.6,9.71,517.42
1.922222222,9.74,416.46
4.533333333,9.77,417.49
7.9,9.8,319.52
10.82222222,9.83,421.55
12.04444444,9.87,522.58
15.28888889,9.9,425.58
13.48888889,9.94,527.68
16.77777778,9.97,457.54
4.877777778,9.99,404.78
5.1,10.02,411.71
29.86666667,10.05,449.78
27.5,10.08,654.68
76.88888889,10.09,1434.13
110.1111111,10.06,3910.11
76.35555556,10.02,4481.48
70.78888889,10.01,4063.55
59.38888889,10.02,3601.56
64.3,10.05,3558.56
44.61111111,10.05,3525.17
29.02222222,10.07,2794.27
10.25555556,10.08,1597.41
3.088888889,10.1,1385.86
0.9,10.12,923.82
1.611111111,10.12,765.84
0,10.13,661.84
0.2222222222,10.14,471.43
2.777777778,10.14,461.74
1.233333333,10.13,452.2
7.922222222,10.11,486.08
13.08888889,10.11,518.57
2.988888889,10.11,518.33
2.477777778,10.11,413.33
5.9,10.11,387.33
3.7,10.11,387.33
7.522222222,10.11,387.33
9.844444444,10.11,387.33
5.255555556,10.11,387.33
10.33333333,10.12,387.33
22.12222222,10.13,544.34
12.98888889,10.49,569.31
15.66666667,10.49,622.95
32.35555556,10.49,754.95
15.36666667,10.49,1178.72
15.31111111,10.48,1084
13.07777778,10.48,969.01
10.01111111,10.48,1073.01
4.711111111,10.48,839.01
7.444444444,10.48,701.94
28.16666667,10.48,845.18
2.266666667,10.47,812.01
3.788888889,10.48,586.02
11.76666667,10.48,609.82
4.277777778,10.48,518.94
16.17777778,10.49,521.2
17.01111111,10.49,827.5
5.2,10.48,566.29
19.87777778,10.48,822.47
2.366666667,10.48,943.01
4.944444444,10.48,433.76
3.788888889,10.48,413.7
5.188888889,10.48,361.7
11.44444444,10.48,465.7
13.78888889,10.49,387.7
44.43333333,10.48,945.56
16.65555556,10.46,2095.91
2.644444444,10.46,895.72
1.266666667,10.46,605.07
6.777777778,10.47,466.68
5.777777778,10.47,674.65
0.02222222222,13.49,520.28
1.188888889,13.49,402.56
0.07777777778,13.5,364.71
0,13.52,358.82
1.133333333,13.52,287.2
0.7333333333,13.52,287.81
0,13.5,271.55
2.277777778,13.49,233.7
0.7777777778,13.49,263.18
0,13.5,245.96
0,13.51,209.2
0,13.51,209.2
0,13.52,208.24
0,13.52,177.44
0,13.52,202.44
0,13.51,203.44
3.711111111,13.51,172.75
12.5,13.52,257.83
2.355555556,13.52,258.84
24.16666667,13.52,549.9
14.82222222,13.51,730.64
25.78888889,13.51,469.97
18.46666667,13.51,442.73
18.36666667,13.5,558.03
4.733333333,13.51,518.96
12.55555556,13.51,284.83
15.56666667,13.51,342.19
17.78888889,13.51,312.73
4.133333333,13.51,494.73
0.4222222222,13.51,338.73
0.4444444444,13.51,280.43
0,13.96,228.43
4.777777778,13.96,210.52
0.5111111111,13.96,128.28
3.333333333,13.96,168.44
4.6,13.97,182.68
0.2222222222,13.98,183.69
11.02222222,13.98,323.27
2.288888889,13.98,260.2
0,13.97,199.9
0,13.96,203.89
0,13.96,128.28
0,13.96,156.68
0,13.97,130.68
0,13.97,130.69
0,13.97,104.69
0,13.97,131.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.64
0,13.97,130.69
0,13.97,104.69
0,13.97,104.69
0,13.97,78.69
0,13.97,104.69
0,13.97,130.69
0,13.97,104.69
0,13.52,78.69
0,13.52,104.24
0,13.52,104.24
0,13.52,39.78
0,13.52,96.27
0,13.52,69.28
2.955555556,13.52,111.33
1.566666667,13.52,120.22
0,13.52,120.22
0,13.52,139.66
0,13.52,114.82
0,13.52,124.46
0,13.52,133.1
0,13.51,60.66
0,13.51,42.21
0,13.5,34.44
0,13.49,21.33
0,13.48,18
0.07777777778,13.47,12.67
1.066666667,13.47,13.67
2.733333333,13.46,21.38
0,13.46,18.05
0,13.45,12.65
0,13.44,9.32
0,13.43,9.31
0,13.43,18.06
0,13.42,10.5
0,13.42,9.45
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,26.64
0,13.42,25.56
0,13.4,19.05
0,13.37,19.99
0,13.34,19.91
0,13.32,25.03
0,13.29,24.75
0,13.26,11.68
0,13.23,10.42
0,13.2,22.77
0,13.18,22.74
0,13.15,23.72
0,13.12,23.69
0,13.1,25.66
0,13.07,25.64
0,13.04,25.61
0,13.01,25.58
0,12.99,26.55
0,12.96,19.89
0,12.93,3.5
0,12.9,2.47
0,12.87,2.44
0,12.84,5.41
0,12.81,4.38
0,12.78,5.35
0,13.69,5.32
0,13.66,8.23
0,13.63,9.2
0,13.6,9.17
0,13.56,9.14
0,13.53,2.38
0,13.49,4.35
0,13.46,4.31
